Product ID,Product Name,Brand,Main Category,Sub Category,Selling Price,MRP,Image URL,Description
ACC001,Korean Pearl Hair Claw Clip,Fashion Diva,Hair Accessories,Claw Clips,149,299,https://example.com/clip1.jpg,Trendy Korean style pearl claw clip for daily and party wear
ACC002,Matte Finish Banana Clip,Urban Style,Hair Accessories,Banana Clips,129,249,https://example.com/clip2.jpg,Strong grip banana clip for thick hair
ACC003,Floral Tic Tac Clips Set,Cute Look,Hair Accessories,Tic Tac Clips,99,199,https://example.com/clip3.jpg,Colorful floral clips for girls and women
ACC004,Metallic Butterfly Clip,Glam Queen,Hair Accessories,Butterfly Clips,179,349,https://example.com/clip4.jpg,Premium butterfly clip with metallic finish
ACC005,Korean Snap Hair Pins Pack,Bella Fashion,Hair Accessories,Hair Pins,89,149,https://example.com/clip5.jpg,Set of 12 stylish snap hair pins
ACC006,Mini Jaw Clips Set,Style Nest,Hair Accessories,Mini Clips,119,229,https://example.com/clip6.jpg,Small jaw clips perfect for front hair styling
ACC007,Velvet Scrunchies Pack,SoftGlow,Hair Accessories,Scrunchies,159,299,https://example.com/scrunchie1.jpg,Soft velvet scrunchies for smooth hair hold
ACC008,Satin Hair Rubber Bands,Trendy Girl,Hair Accessories,Rubber Bands,99,199,https://example.com/rubber1.jpg,No-damage satin rubber bands for women
ACC009,Spiral Telephone Rubber Bands,HairFix,Hair Accessories,Spiral Bands,129,249,https://example.com/rubber2.jpg,Trendy spiral bands preventing hair breakage
ACC010,Multicolor Elastic Bands Pack,Chic Beauty,Hair Accessories,Elastic Bands,79,149,https://example.com/rubber3.jpg,Daily use colorful elastic rubber bands
ACC011,Wooden Wide Tooth Comb,Nature Care,Hair Accessories,Combs,189,349,https://example.com/comb1.jpg,Anti-static wooden comb for hair growth
ACC012,Tail Comb Professional,Salon Pro,Hair Accessories,Tail Combs,99,199,https://example.com/comb2.jpg,Professional tail comb for styling and partition
ACC013,Folding Pocket Comb,Urban Menia,Hair Accessories,Pocket Combs,119,229,https://example.com/comb3.jpg,Portable folding comb for travel use
ACC014,Detangling Paddle Brush,Hair Bliss,Hair Accessories,Hair Brushes,299,599,https://example.com/brush1.jpg,Smooth detangling brush for all hair types
ACC015,Round Blow Dry Brush,Salon Touch,Hair Accessories,Round Brushes,349,699,https://example.com/brush2.jpg,Perfect brush for blow drying and volume
ACC016,Hair Donut Bun Maker,Style Queen,Hair Accessories,Bun Accessories,99,199,https://example.com/bun1.jpg,Easy bun maker for stylish hairstyles
ACC017,Bridal Juda Pins Set,Royal Bride,Hair Accessories,Juda Accessories,249,499,https://example.com/juda1.jpg,Decorative juda pins for bridal hairstyles
ACC018,Stone Studded Hair Band,Glimmer,Hair Accessories,Hair Bands,199,399,https://example.com/band1.jpg,Stylish stone hairband for party look
ACC019,Knotted Fabric Hairband,Cute Wear,Hair Accessories,Hair Bands,149,299,https://example.com/band2.jpg,Comfortable daily wear fabric headband
ACC020,Boho Printed Bandana,Fashion Hub,Hair Accessories,Bandanas,179,349,https://example.com/bandana1.jpg,Trendy boho style hair scarf bandana
ACC021,Korean Hair Roller Clips,GlowUp,Hair Accessories,Rollers,129,249,https://example.com/roller1.jpg,Self grip rollers for front puff styling
ACC022,Heatless Curling Ribbon,Curl Magic,Hair Accessories,Curl Accessories,299,599,https://example.com/curl1.jpg,Heatless curling ribbon for overnight curls
ACC023,Satin Sleeping Bonnet,Hair Care Pro,Hair Accessories,Hair Bonnets,349,699,https://example.com/bonnet1.jpg,Satin bonnet preventing frizz and breakage
ACC024,Wig Cap Set,Beauty Plus,Hair Accessories,Wig Accessories,99,199,https://example.com/wig1.jpg,Stretchable wig caps for comfortable fit
ACC025,Makeup Headband Bow Style,Glam Touch,Beauty Accessories,Makeup Headbands,129,249,https://example.com/headband1.jpg,Cute bow headband for skincare and makeup
ACC026,Makeup Sponge Blender Set,Beauty Blender,Beauty Accessories,Makeup Tools,249,499,https://example.com/sponge1.jpg,Soft beauty blender sponge set
ACC027,Professional Makeup Brush Kit,Pro Beauty,Beauty Accessories,Makeup Brushes,799,1499,https://example.com/brushkit1.jpg,Complete makeup brush set for professionals
ACC028,Eyelash Curler Premium,Lash Queen,Beauty Accessories,Eye Accessories,199,399,https://example.com/lash1.jpg,Stainless steel eyelash curler
ACC029,Reusable Makeup Remover Pads,Eco Beauty,Beauty Accessories,Skincare Tools,299,599,https://example.com/remover1.jpg,Washable reusable cotton remover pads
ACC030,Nail Art Dotting Tool Set,Nail Glam,Beauty Accessories,Nail Accessories,179,349,https://example.com/nail1.jpg,Nail art tool kit for creative nail designs
ACC031,Acrylic Nail Tips Box,Nail Studio,Beauty Accessories,Nail Extensions,399,799,https://example.com/nail2.jpg,Professional acrylic nail extension tips
ACC032,Rhinestone Hair Clip Set,Star Beauty,Hair Accessories,Decorative Clips,249,499,https://example.com/rhinestone1.jpg,Party wear rhinestone clips set
ACC033,Pearl U Pins Set,Bridal Glow,Hair Accessories,Hair Pins,149,299,https://example.com/pearlu1.jpg,Elegant pearl U pins for buns
ACC034,Cartoon Kids Hair Clips,Tiny Fashion,Hair Accessories,Kids Clips,99,199,https://example.com/kidsclip1.jpg,Cute cartoon clips for girls
ACC035,Anti Slip Bobby Pins Pack,Hair Secure,Hair Accessories,Bobby Pins,79,149,https://example.com/bobby1.jpg,Strong grip anti-slip bobby pins
ACC036,Velvet Bow Hair Clip,Elegant Touch,Hair Accessories,Bow Clips,189,349,https://example.com/bow1.jpg,Premium velvet bow clip for women
ACC037,Chain Style Hair Accessories,Luxe Beauty,Hair Accessories,Fancy Accessories,349,699,https://example.com/chain1.jpg,Korean trendy chain hair accessory
ACC038,Crystal Bridal Tiara,Princess Look,Hair Accessories,Tiaras,899,1799,https://example.com/tiara1.jpg,Luxury crystal tiara for weddings
ACC039,Hair Sectioning Clips Set,Salon Expert,Hair Accessories,Salon Accessories,199,399,https://example.com/section1.jpg,Professional sectioning clips for salons
ACC040,Portable Mini Mirror Comb,Smart Girl,Hair Accessories,Travel Accessories,149,299,https://example.com/mirrorcomb1.jpg,Compact mirror with comb for handbag use
